ScenarioTime;ThrottleAPredicted;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
3.3711;0.12909105;0.0871;0.0938;80.7373;-84.8942;-75.5194;78.1094;0.0084;0.0108
3.4407;0.1440278;0.1424;0.1199;80.736;-84.8927;-75.5195;78.107;0.0084;0.0109
3.5105;0.17686844;0.1778;0.1813;80.7333;-84.8906;-75.5195;78.1035;0.0084;0.014
3.5803;0.2100952;0.1962;0.2481;80.7287;-84.8875;-75.5196;78.0984;0.0087;0.0187
3.6499;0.22852972;0.2069;0.291;80.722;-84.8832;-75.5197;78.0911;0.0107;0.0231
3.7192;0.22825298;0.2142;0.297;80.713;-84.8772;-75.5197;78.0811;0.0139;0.0239
3.7888;0.21498585;0.2229;0.2746;80.7016;-84.8696;-75.5197;78.0683;0.0158;0.023
3.8586;0.20252863;0.2557;0.2518;80.6878;-84.8602;-75.5196;78.0526;0.016;0.023
3.9282;0.19508523;0.3115;0.2381;80.6712;-84.8495;-75.5195;78.0346;0.016;0.023
3.9978;0.19062403;0.3529;0.2299;80.6515;-84.8374;-75.5194;78.0143;0.016;0.023
4.0676;0.18809906;0.3781;0.2252;80.6279;-84.824;-75.5192;77.9918;0.016;0.023
4.1375;0.18801165;0.3939;0.2249;80.6003;-84.8095;-75.519;77.9673;0.016;0.023
4.2073;0.18967059;0.4032;0.2287;80.5683;-84.7937;-75.5188;77.9407;0.016;0.0241
4.2766;0.19066355;0.4116;0.2309;80.5321;-84.7768;-75.5184;77.9123;0.0162;0.0244
4.3462;0.19125694;0.4219;0.2322;80.4915;-84.7588;-75.5182;77.8819;0.0165;0.0244
4.4163;0.19192022;0.4295;0.233;80.4462;-84.7394;-75.518;77.8492;0.0165;0.0244
4.4922;0.19301665;0.4319;0.2345;80.3929;-84.7175;-75.5174;77.8122;0.0165;0.0244
4.563;0.19404086;0.4321;0.2358;80.3364;-84.695;-75.5167;77.7743;0.0165;0.0244
4.6328;0.19680065;0.4341;0.2403;80.2769;-84.6721;-75.5159;77.7354;0.0165;0.0244
4.7024;0.2040242;0.4374;0.2532;80.2133;-84.6481;-75.5151;77.6949;0.0165;0.0244
4.7722;0.20926428;0.4497;0.2624;80.1447;-84.6228;-75.5141;77.6521;0.0165;0.0244
4.842;0.2129825;0.471;0.2687;80.0716;-84.5962;-75.5131;77.6071;0.0165;0.0244
4.9116;0.21884614;0.4874;0.2739;79.9938;-84.5685;-75.5119;77.56;0.0137;0.0244
4.9812;0.22972712;0.4973;0.2831;79.911;-84.5394;-75.5108;77.5107;0.0075;0.0253
5.0508;0.2450772;0.5044;0.3042;79.8231;-84.509;-75.5097;77.459;0.0015;0.0286
5.1201;0.25367746;0.522;0.3193;79.7303;-84.4773;-75.5087;77.405;0;0.03
5.1899;0.26100674;0.5593;0.3345;79.6318;-84.444;-75.5078;77.348;0;0.0309
5.2598;0.26977682;0.5979;0.3454;79.5272;-84.409;-75.5069;77.288;-0.0035;0.0308
5.3301;0.28431058;0.6193;0.357;79.4161;-84.3722;-75.5061;77.2249;-0.0132;0.0301
5.3999;0.30338758;0.627;0.3738;79.2991;-84.3339;-75.5055;77.159;-0.0233;0.0301
