ScenarioTime,PredictedThrottleA,ThrottleA,ThrottleB,CarPosXA,CarPosXB,CarPosZA,CarPosZB,SteerA,SteerB
5.5608,0.06210661,-0.0198,0.2449,0.4636,-0.2842,-11.4103,14.1471,-0.0076,0.0464
5.5608,0.06210661,-0.0198,0.2449,0.4636,-0.2842,-11.4103,14.1471,-0.0076,0.0464
5.6309,0.06147575,0,0.2699,0.4647,-0.285,-11.3875,14.108,-0.0076,0.0464
5.6309,0.06147575,0,0.2699,0.4647,-0.285,-11.3875,14.108,-0.0076,0.0464
5.7005,0.06008261,0,0.2891,0.4657,-0.2858,-11.3655,14.0663,-0.0076,0.0464
5.7005,0.06008261,0,0.2891,0.4657,-0.2858,-11.3655,14.0663,-0.0076,0.0464
5.7703,0.05796292,0,0.3007,0.4668,-0.2867,-11.3438,14.0215,-0.0076,0.0464
5.7703,0.05796292,0,0.3007,0.4668,-0.2867,-11.3438,14.0215,-0.0076,0.0464
5.8401,0.05524251,0,0.3076,0.4678,-0.2876,-11.3225,13.9736,-0.0076,0.0464
5.8401,0.05524251,0,0.3076,0.4678,-0.2876,-11.3225,13.9736,-0.0076,0.0464
5.9099,0.05129525,0,0.3042,0.4688,-0.2887,-11.3016,13.9225,-0.0076,0.0464
5.9099,0.05129525,0,0.3042,0.4688,-0.2887,-11.3016,13.9225,-0.0076,0.0464
5.98,0.0461368,0,0.2909,0.4698,-0.2899,-11.281,13.8681,-0.0076,0.0464
5.98,0.0461368,0,0.2909,0.4698,-0.2899,-11.281,13.8681,-0.0076,0.0464
6.0498,0.04226002,0,0.2884,0.4707,-0.2912,-11.2609,13.811,-0.0076,0.0464
6.0498,0.04226002,0,0.2884,0.4707,-0.2912,-11.2609,13.811,-0.0076,0.0464
6.1197,0.04059443,0,0.3054,0.4716,-0.2926,-11.241,13.7509,-0.0076,0.0464
6.1197,0.04059443,0,0.3054,0.4716,-0.2926,-11.241,13.7509,-0.0076,0.0464
6.1892,0.04098582,0,0.3417,0.4726,-0.2941,-11.2216,13.688,-0.0076,0.0464
6.1892,0.04098582,0,0.3417,0.4726,-0.2941,-11.2216,13.688,-0.0076,0.0464
6.2588,0.04244328,0,0.3923,0.4734,-0.2957,-11.2026,13.6219,-0.0076,0.0464
6.2588,0.04244328,0,0.3923,0.4734,-0.2957,-11.2026,13.6219,-0.0076,0.0464
6.3284,0.04289499,0,0.4376,0.4743,-0.2975,-11.1839,13.5521,-0.0076,0.0464
6.3284,0.04289499,0,0.4376,0.4743,-0.2975,-11.1839,13.5521,-0.0076,0.0464
6.3982,0.03554142,0,0.4663,0.4752,-0.2995,-11.1654,13.4772,-0.0076,0.0464
6.3982,0.03554142,0,0.4663,0.4752,-0.2995,-11.1654,13.4772,-0.0076,0.0464
6.468,0.03018627,0,0.4833,0.476,-0.3017,-11.1473,13.3977,-0.0076,0.0464
6.468,0.03018627,0,0.4833,0.476,-0.3017,-11.1473,13.3977,-0.0076,0.0464
6.5374,0.02634504,0,0.4933,0.4769,-0.3041,-11.1296,13.3136,-0.0076,0.0464
6.5374,0.02634504,0,0.4933,0.4769,-0.3041,-11.1296,13.3136,-0.0076,0.0464
6.6067,0.02335954,0,0.4993,0.4777,-0.3068,-11.1123,13.2243,-0.0076,0.0464
6.6067,0.02335954,0,0.4993,0.4777,-0.3068,-11.1123,13.2243,-0.0076,0.0464
6.6763,0.02088746,0,0.5028,0.4785,-0.3097,-11.0952,13.1298,-0.0076,0.0464
6.6763,0.02088746,0,0.5028,0.4785,-0.3097,-11.0952,13.1298,-0.0076,0.0464
6.7456,0.01826432,0,0.5066,0.4793,-0.3129,-11.0784,13.03,-0.0076,0.0464
6.7456,0.01826432,0,0.5066,0.4793,-0.3129,-11.0784,13.03,-0.0076,0.0464
6.8152,0.01589516,0,0.5117,0.48,-0.3165,-11.062,12.9249,-0.0076,0.0464
6.8152,0.01589516,0,0.5117,0.48,-0.3165,-11.062,12.9249,-0.0076,0.0464
6.885,0.01322976,0,0.5187,0.4808,-0.3204,-11.0458,12.8144,-0.0076,0.0464
6.885,0.01322976,0,0.5187,0.4808,-0.3204,-11.0458,12.8144,-0.0076,0.0464
6.9715,0.00972393,0,0.5323,0.4816,-0.3252,-11.0278,12.682,-0.0076,0.0464
6.9715,0.00972393,0,0.5323,0.4816,-0.3252,-11.0278,12.682,-0.0076,0.0464
7.0418,0.00826672,0,0.5414,0.4823,-0.3294,-11.0137,12.571,-0.0076,0.0461
7.0418,0.00826672,0,0.5414,0.4823,-0.3294,-11.0137,12.571,-0.0076,0.0461
7.1197,0.00955948,0,0.5546,0.4832,-0.336,-10.9941,12.4058,-0.0076,0.0424
7.1197,0.00955948,0,0.5546,0.4832,-0.336,-10.9941,12.4058,-0.0076,0.0424
7.1885,0.01230472,0,0.5475,0.4839,-0.3415,-10.979,12.2702,-0.0076,0.0354
7.1885,0.01230472,0,0.5475,0.4839,-0.3415,-10.979,12.2702,-0.0076,0.0354
7.2613,0.00800189,0,0.536,0.4846,-0.3474,-10.9636,12.1237,-0.0076,0.0261
7.2613,0.00800189,0,0.536,0.4846,-0.3474,-10.9636,12.1237,-0.0076,0.0261
7.3311,0.0056558,0,0.53,0.4853,-0.353,-10.9491,11.978,-0.0076,0.0172
7.3311,0.0056558,0,0.53,0.4853,-0.353,-10.9491,11.978,-0.0076,0.0172
7.4016,0.00623891,0,0.533,0.486,-0.3585,-10.9348,11.8252,-0.0076,0.0088
7.4016,0.00623891,0,0.533,0.486,-0.3585,-10.9348,11.8252,-0.0076,0.0088
7.4724,0.00699884,0,0.5391,0.4866,-0.3638,-10.9207,11.6672,-0.0076,0.0037
7.4724,0.00699884,0,0.5391,0.4866,-0.3638,-10.9207,11.6672,-0.0076,0.0037
7.543,0.00589135,0,0.5439,0.4873,-0.369,-10.9069,11.504,-0.0076,0.0026
7.543,0.00589135,0,0.5439,0.4873,-0.369,-10.9069,11.504,-0.0076,0.0026
7.6126,0.00479716,0,0.5501,0.4879,-0.374,-10.8936,11.3381,-0.0076,0.0026
7.6126,0.00479716,0,0.5501,0.4879,-0.374,-10.8936,11.3381,-0.0076,0.0026
7.6853,0.00400543,0,0.5578,0.4885,-0.3794,-10.8801,11.1592,-0.0076,0.0026
7.6853,0.00400543,0,0.5578,0.4885,-0.3794,-10.8801,11.1592,-0.0076,0.0026
7.7554,0.00242409,0,0.5629,0.4891,-0.3848,-10.8675,10.9822,-0.0076,0.0026
7.7554,0.00242409,0,0.5629,0.4891,-0.3848,-10.8675,10.9822,-0.0076,0.0026
7.8269,-8.85E-05,0,0.5659,0.4897,-0.3905,-10.8547,10.7936,-0.0076,0.0027
7.8269,-8.85E-05,0,0.5659,0.4897,-0.3905,-10.8547,10.7936,-0.0076,0.0027
7.8968,-0.00299156,0,0.5677,0.4903,-0.3963,-10.8426,10.6052,-0.0076,0.0027
7.8968,-0.00299156,0,0.5677,0.4903,-0.3963,-10.8426,10.6052,-0.0076,0.0027
7.9666,-0.00628376,0,0.5688,0.4908,-0.4022,-10.8306,10.4111,-0.0076,0.0027
7.9666,-0.00628376,0,0.5688,0.4908,-0.4022,-10.8306,10.4111,-0.0076,0.0027
8.0366,-0.0097384,0,0.5694,0.4913,-0.4083,-10.819,10.2121,-0.0076,0.0027
