Path;Validity
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC21\csv\CSVScenario-CP1_Session-NYC21_2022-09-19-17-11-48.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC22\csv\CSVScenario-CP1_Session-NYC22_2022-09-21-13-05-18.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC23\csv\CSVScenario-CP1_Session-NYC23_2022-09-21-14-29-05.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC24\csv\CSVScenario-CP1_Session-NYC24_2022-10-06-11-32-02.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC25\csv\CSVScenario-CP1_Session-NYC25_2022-10-07-10-41-01.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC25\csv\CSVScenario-CP1_Session-NYC25_2022-10-07-10-42-23.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC26\csv\CSVScenario-CP1_Session-NYC26_2022-10-07-15-58-15.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC27\csv\CSVScenario-CP1_Session-NYC27_2022-10-25-16-25-54.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC28\csv\CSVScenario-CP1_Session-NYC28_2022-10-28-10-02-58.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC29\csv\CSVScenario-CP1_Session-NYC29_2022-11-09-11-33-35.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC29\csv\CSVScenario-CP1_Session-NYC29_2022-11-11-11-09-21.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC3\csv\CSVScenario-CP1_Session-NYC3_2022-08-09-16-04-38.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC30b\csv\CSVScenario-CP1_Session-NYC30b_2022-11-17-10-33-18.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC32\csv\CSVScenario-CP1_Session-NYC32_2022-11-17-15-07-07.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC33\csv\CSVScenario-CP1_Session-NYC33_2022-11-17-17-07-21.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC34\csv\CSVScenario-CP1_Session-NYC34_2022-11-21-09-18-51.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC34\csv\CSVScenario-CP1_Session-NYC34_2022-11-21-09-20-20.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC34\csv\CSVScenario-CP1_Session-NYC34_2022-11-21-09-21-18.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC34\csv\CSVScenario-CP1_Session-NYC34_2022-11-21-10-06-04.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC35\csv\CSVScenario-CP1_Session-NYC35_2022-11-21-15-22-10.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC36\csv\CSVScenario-CP1_Session-NYC36_2022-11-21-16-50-56.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC37\csv\CSVScenario-CP1_Session-NYC37_2022-11-23-15-24-27.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC38\csv\CSVScenario-CP1_Session-NYC38_2022-11-23-17-01-10.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC39\csv\CSVScenario-CP1_Session-NYC39_2022-11-25-10-02-04.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC4\csv\CSVScenario-CP1_Session-NYC4_2022-08-12-14-09-37.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC40\csv\CSVScenario-CP1_Session-NYC40_2022-11-29-15-51-27.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC41\csv\CSVScenario-CP1_Session-NYC41_2022-11-30-09-28-07.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC41\csv\CSVScenario-CP1_Session-NYC41_2022-12-02-11-04-52.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC41\csv\CSVScenario-CP1_Session-NYC41_2022-12-02-11-09-47.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC42\csv\CSVScenario-CP1_Session-NYC42_2022-12-02-16-14-47.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC5\csv\CSVScenario-CP1_Session-NYC5_2022-08-16-11-50-56.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC6\csv\CSVScenario-CP1_Session-nyc6parent_2022-09-09-19-56-04.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC7\csv\CSVScenario-CP1_Session-NYC7_2022-09-12-10-30-17.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC8\csv\CSVScenario-CP1_Session-NYC8_2022-09-12-11-50-59.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC9\csv\CSVScenario-CP1_Session-NYC9_2022-09-13-09-35-43.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\NYC9\csv\CSVScenario-CP1_Session-NYC9_2022-09-13-11-40-51.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 5 - Ithaca\csv\CSVScenario-CP1_Session-Pilot5_2022-04-20-16-51-04.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 6\csv\CSVScenario-CP1_Session-Unnamed_20220426T151536_2022-04-26-15-31-00.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 7 - Ithaca\csv\CSVScenario-CP1_Session-ir7CornellIthaca_2022-05-05-17-37-40.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 8 - Ithaca\csv\CSVScenario-CP1_Session-Pilot8_2022-05-13-13-41-26.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 8 - Ithaca\csv\CSVScenario-CP1_Session-Pilot8_2022-05-13-13-42-31.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\Pilot 9 - Ithaca\csv\CSVScenario-CP1_Session-Unnamed_20220519T101722_2022-05-19-10-48-10.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\22\csv\CSVScenario-CP1_Session-22_2022-05-18-18-17-25.csv;True
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\33\csv\CSVScenario-CP1_Session-33_2022-05-15-18-20-31.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\33\csv\CSVScenario-CP1_Session-33_2022-05-15-18-25-56.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\33\csv\CSVScenario-CP1_Session-33_2022-05-18-18-42-22.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\4th\csv\CSVScenario-CP1_Session-4th_2022-05-18-12-01-26.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\5th\csv\CSVScenario-CP1_Session-5th_2022-05-18-12-04-59.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\7th\csv\CSVScenario-CP1_Session-7th_2022-05-18-12-32-56.csv;False
C:\Users\farla\Documents\Summer2023\XCData\CrossCultureResearch\Pilot Study Data\test-runs\8th\csv\CSVScenario-CP1_Session-8th_2022-05-18-14-01-54.csv;False
